current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic,integral_force,integral_force2,diff,diff2,diff inverted,diff inverted 2
0,1,-13.0419,0.0000392979,-13.0298,0.0000391536,-11.9778,0.0000365697,-11.9814,0.0000365844,0,0,3,0,5.9464,2,4,48445,13.0419,0.0000392979,13.0298,0.0000391536,0,0,1,0.0015,0.0015,-14.46,14.46,0,-14.46,14.46,0,0,-28.92,28.92
0,1,-3.90866,0.000134639,-3.90522,0.00013414,-3.58659,0.0001253,-3.58747,0.000125351,0,0,3,0,7.88757,2,8,49589,3.90866,0.000134639,3.90522,0.00013414,0,0,1,0.0015,0.0015,-4.32154,4.32154,0,-4.32154,4.32154,0,0,-8.64308,8.64308
0,1,-0.851257,0.000563579,-0.850528,0.000561484,-0.780773,0.000524508,-0.780943,0.00052472,0,0,3,0,7.68206,2,16,51605,0.851257,0.000563579,0.850528,0.000561484,0,0,1,0.0015,0.0015,-0.939876,0.939876,0,-0.939876,0.939876,0,0,-1.879752,1.879752
0,1.1,-107.291,0.00000557424,-107.171,0.00000555266,-99.1227,0.00000518284,-99.188,0.00000518512,0,0,3,0,6.19842,2,0,46861,107.291,0.00000557425,107.171,0.00000555267,0,0,1,0.0015,0.0015,-122.434,122.434,0,-122.434,122.434,0,0,-244.868,244.868
0,1.1,-56.7576,0.0000104782,-56.7044,0.000010437,-52.3054,0.00000974607,-52.3307,0.00000975036,0,0,3,0,6.15177,2,1,50373,56.7576,0.0000104782,56.7044,0.000010437,0,0,1,0.0015,0.0015,-64.1662,64.1662,0,-64.1662,64.1662,0,0,-128.3324,128.3324
0,1.1,-33.3839,0.0000178611,-33.3556,0.0000177902,-30.7255,0.0000166156,-30.7375,0.0000166229,0,0,3,0,8.92241,2,2,50373,33.3839,0.0000178611,33.3556,0.0000177902,0,0,1,0.0015,0.0015,-37.5566,37.5566,0,-37.5566,37.5566,0,0,-75.1132,75.1132
0,1.1,-14.297,0.0000424241,-14.2861,0.0000422541,-13.1423,0.0000394701,-13.1464,0.0000394877,0,0,3,0,5.58628,2,4,48445,14.297,0.0000424241,14.2861,0.0000422541,0,0,1,0.0015,0.0015,-16.0118,16.0118,0,-16.0118,16.0118,0,0,-32.0236,32.0236
0,1.1,-4.28121,0.000145224,-4.27817,0.000144637,-3.93214,0.00013512,-3.93311,0.00013518,0,0,3,0,7.89622,2,8,49589,4.28121,0.000145224,4.27817,0.000144637,0,0,1,0.0015,0.0015,-4.78167,4.78167,0,-4.78167,4.78167,0,0,-9.56334,9.56334
0,1.1,-0.932001,0.000607616,-0.931364,0.000605152,-0.855651,0.000565358,-0.855839,0.000565612,0,0,3,0,4.64,2,16,51605,0.932001,0.000607616,0.931364,0.000605152,0,0,1,0.0015,0.0015,-1.03956,1.03956,0,-1.03956,1.03956,0,0,-2.07912,2.07912
0,1.2,-116.467,0.00000596073,-116.356,0.00000593584,-107.67,0.00000554126,-107.744,0.00000554393,0,0,3,0,7.51628,2,0,46861,116.467,0.00000596071,116.356,0.00000593583,0,0,1,0.0015,0.0015,-134.097,134.097,0,-134.097,134.097,0,0,-268.194,268.194
0,1.2,-61.4779,0.0000111837,-61.4312,0.0000111363,-56.6987,0.0000104001,-56.727,0.0000104051,0,0,3,0,7.7834,2,1,50373,61.4779,0.0000111837,61.4312,0.0000111363,0,0,1,0.0015,0.0015,-70.1153,70.1153,0,-70.1153,70.1153,0,0,-140.2306,140.2306
0,1.2,-36.1198,0.0000190439,-36.0958,0.0000189625,-33.2708,0.000017712,-33.2842,0.0000177206,0,0,3,0,4.84347,2,2,50373,36.1198,0.0000190439,36.0958,0.0000189625,0,0,1,0.0015,0.0015,-40.9923,40.9923,0,-40.9923,40.9923,0,0,-81.9846,81.9846
0,1.2,-15.4521,0.0000451865,-15.4432,0.0000449915,-14.2166,0.0000420303,-14.221,0.0000420508,0,0,3,0,4.88123,2,4,48445,15.4521,0.0000451865,15.4432,0.0000449915,0,0,1,0.0015,0.0015,-17.4586,17.4586,0,-17.4586,17.4586,0,0,-34.9172,34.9172
0,1.2,-4.6237,0.000154564,-4.6213,0.000153893,-4.25057,0.000143776,-4.25162,0.000143846,0,0,3,0,5.33199,2,8,49589,4.6237,0.000154564,4.6213,0.000153893,0,0,1,0.0015,0.0015,-5.21026,5.21026,0,-5.21026,5.21026,0,0,-10.42052,10.42052
0,1.2,-1.00619,0.000646448,-1.0057,0.000643628,-0.92462,0.000601341,-0.92482,0.000601637,0,0,3,0,4.499,2,16,51605,1.00619,0.000646448,1.0057,0.000643628,0,0,1,0.0015,0.0015,-1.13237,1.13237,0,-1.13237,1.13237,0,0,-2.26474,2.26474
